     Bin         Counts       Distance       Raw g(r)    Smooth g(r)

       1              0         0.1000         0.0000         0.0000
       2              0         0.3000         0.0000         0.0000
       3              0         0.5000         0.0000         0.0000
       4              0         0.7000         0.0000         0.0000
       5              0         0.9000         0.0000         0.0000
       6              0         1.1000         0.0000         0.0000
       7              0         1.3000         0.0000         0.0000
       8              0         1.5000         0.0000         0.0000
       9              0         1.7000         0.0000         0.0000
      10              0         1.9000         0.0000         0.0000
      11              6         2.1000         0.0016         0.2504
      12          14543         2.3000         3.3012         4.9168
      13          53566         2.5000        10.2925         6.9703
      14          15301         2.7000         2.5208         4.5651
      15           2028         2.9000         0.2896         0.1390
      16            419         3.1000         0.0524         0.0000
      17            175         3.3000         0.0193         0.0046
      18            128         3.5000         0.0126         0.0089
      19            292         3.7000         0.0256         0.0129
      20           1199         3.9000         0.0947         0.0903
      21           5652         4.1000         0.4039         0.4524
      22          18288         4.3000         1.1882         1.2296
      23          35679         4.5000         2.1167         2.0632
      24          43690         4.7000         2.3761         2.2949
      25          35523         4.9000         1.7775         1.8004
      26          23364         5.1000         1.0792         1.1340
      27          18063         5.3000         0.7726         0.7708
      28          17856         5.5000         0.7092         0.7051
      29          20570         5.7000         0.7606         0.7567
      30          24505         5.9000         0.8458         0.8431
      31          28788         6.1000         0.9295         0.9298
      32          33307         6.3000         1.0082         1.0093
      33          37818         6.5000         1.0754         1.0742
      34          41553         6.7000         1.1122         1.1140
      35          44156         6.9000         1.1143         1.1088
      36          44331         7.1000         1.0566         1.0569
      37          43382         7.3000         0.9781         0.9774
      38          42828         7.5000         0.9148         0.9215
      39          44942         7.7000         0.9107         0.9077
      40          48425         7.9000         0.9323         0.9362
      41          53566         8.1000         0.9809         0.9750
      42          58022         8.3000         1.0119         1.0171
      43          63123         8.5000         1.0497         1.0455
      44          66664         8.7000         1.0582         1.0600
      45          69303         8.9000         1.0512         1.0481
      46          70460         9.1000         1.0223         1.0259
      47          72110         9.3000         1.0017         0.9991
      48          73491         9.5000         0.9784         0.9815
      49          76091         9.7000         0.9717         0.9687
      50          78675         9.9000         0.9645         0.9675
      51          82746        10.1000         0.9746         0.9724
      52          86961        10.3000         0.9849         0.9877
      53          92130        10.5000         1.0040         1.0010
      54          96020        10.7000         1.0077         1.0084
      55          99554        10.9000         1.0068         1.0065
      56         102969        11.1000         1.0041         1.0057
      57         106840        11.3000         1.0053         1.0030
      58         109782        11.5000         0.9974         0.9990
      59         113306        11.7000         0.9945         0.9938
      60         116935        11.9000         0.9922         0.9929
      61         121174        12.1000         0.9944         0.9943
      62         125561        12.3000         0.9972         0.9970
      63         129758        12.5000         0.9978         0.9972
      64         133608        12.7000         0.9953         0.9959
      65         137858        12.9000         0.9954         0.9957
      66         142374        13.1000         0.9968         0.9962
      67         146506        13.3000         0.9951         0.9950
      68         150693        13.5000         0.9935         0.9948
      69         155679        13.7000         0.9966         0.9955
      70         159790        13.9000         0.9937         0.9944
      71         163306        14.1000         0.9870         0.9868

